Object ID,Organization Name,Approved On Street,Borough Name,Approved From Street,Approved To Street,apprDaysWe,Status Type,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,apprStartD,Approved Sunday Close,apprEndDat,Shape_STLe,the Geom,segmentidt,segmentidf,lionversion
28,Mary McDowell Friends School,AITKEN PLACE,Brooklyn,CLINTON STREET,SIDNEY PLACE,"mon,tue,wed,thu,fri",approvedFullSchools,11:00,15:00,11:00,15:00,11:00,15:00,11:00,15:00,11:00,15:00,,,,03/01/2023,,06/30/2024,302.27415722,"MULTILINESTRING ((985785.2790697217 191548.98768672347, 986069.8421488851 191447.03907172382))",0023828,0023828,22A
29,MONTAGUE ST BUSINESS IMPROVEMENT DISTRICT,MONTAGUE STREET,Brooklyn,CLINTON STREET,PIERREPONT PLACE,sat,approvedFull,,,,,,,,,,,11:30,18:30,,06/03/2023,,10/28/2023,459.095911276,"MULTILINESTRING ((985399.44650805 192564.09687697887, 985831.1352772266 192407.8475175649))",0023840,0023840,22A
30,MONTAGUE ST BUSINESS IMPROVEMENT DISTRICT,MONTAGUE STREET,Brooklyn,CLINTON STREET,PIERREPONT PLACE,sat,approvedFull,,,,,,,,,,,11:30,18:30,,06/03/2023,,10/28/2023,552.75466353,"MULTILINESTRING ((985831.1352772266 192407.8475175649, 986351.0062847137 192220.03949423134))",0023852,0023852,22A
31,Chinatown BID,FORSYTH STREET,Manhattan,DIVISION STREET,EAST BROADWAY,sat,approvedFull,,,,,,,,,,,09:00,16:00,,04/01/2023,,12/31/2023,198.793230157,"MULTILINESTRING ((985928.7105413824 199312.76120114326, 985874.4094688892 199503.99441447854))",0023969,0023969,22A
32,Cervo's,CANAL STREET,Manhattan,ESSEX STREET,ORCHARD STREET,"mon,tue,wed,thu,fri,sat,sun",approvedFull,15:00,00:00,15:00,00:00,15:00,00:00,15:00,00:00,15:00,00:00,15:00,00:00,15:00,04/01/2023,00:00,11/15/2023,225.982538265,"MULTILINESTRING ((986708.1578013897 199649.68638031185, 986498.2828930616 199733.47558280826))",0024164,0024164,22A
33,Atlantic Avenue Business Improvement District,HOYT STREET,Brooklyn,ATLANTIC AVENUE,STATE STREET,"sat,sun",approvedFull,,,,,,,,,,,12:00,23:00,12:00,04/22/2023,23:00,10/29/2023,260.548044131,"MULTILINESTRING ((987975.0220655501 190082.40925505757, 987855.3077380508 189850.99239505827))",0024187,0024187,22A
34,Dumbo Improvement District,WASHINGTON STREET,Brooklyn,FRONT STREET,WATER STREET,"mon,tue,wed,thu,fri,sat,sun",approvedFull,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,04/01/2023,21:00,12/31/2023,246.748284732,"MULTILINESTRING ((987138.2619280517 195471.29250614345, 987127.0972522199 195224.79693613946))",0024288,0024288,22A
35,Office Ho Jonot,JEFFERSON STREET,Manhattan,EAST BROADWAY,MADISON STREET,"thu,fri,sat,sun",approvedFull,,,,,,,15:00,21:00,15:00,22:00,10:00,22:00,10:00,03/11/2023,21:00,12/17/2023,247.41273405,"MULTILINESTRING ((987382.0764010549 199473.76022297144, 987410.4332997203 199227.9779061377))",0024368,0024368,22A
36,Office Ho Jonot,JEFFERSON STREET,Manhattan,EAST BROADWAY,MADISON STREET,"thu,fri,sat,sun",approvedFull,,,,,,,15:00,21:00,15:00,22:00,10:00,22:00,10:00,03/11/2023,21:00,12/17/2023,272.111257433,"MULTILINESTRING ((987410.4332997203 199227.9779061377, 987442.631398052 198957.7783153057))",0024371,0024371,22A
37,Brooklyn RISE Charter School,HANOVER PLACE,Brooklyn,FULTON STREET,LIVINGSTON STREET,"mon,tue,wed,thu,fri",approvedFull,07:30,17:00,07:30,17:00,07:30,17:00,07:30,17:00,07:30,17:00,,,,02/01/2023,,06/30/2024,179.623023589,"MULTILINESTRING ((989126.4534897208 190260.41742922366, 989043.7075922191 190100.98861423135))",0024559,0024559,22A
